,year,runtime,title,genre,actor,actress,director,popularity,premiere,imdb score,language
1502,1938,96,Boys Town,Drama,"Tracy, Spencer",,"Taurog, Norman",21,,,
1504,1982,150,A Question of Honor,Drama,"Gazzara, Ben",,"Taylor, Jud",80,,,
1505,1947,61,Check Your Guns,Western,"Dean, Eddie",,"Taylor, Ray",80,,,
1506,1947,56,West to Glory,Western,"Dean, Eddie",,"Taylor, Ray",43,,,
1507,1937,60,"Throwback, The",Western,"Jones, Buck",,"Taylor, Ray",53,,,
1508,1992,54,Border Feud,Action,"LaRue, Lash",,"Taylor, Ray",43,,,
1509,1947,58,"Fighting Vigilantes, The",Western,"LaRue, Lash",,"Taylor, Ray",21,,,
1510,1947,53,Law of the Lash,Western,"LaRue, Lash",,"Taylor, Ray",66,,,
1511,1949,66,Outlaw Country,Western,"LaRue, Lash",,"Taylor, Ray",62,,,
1512,1992,53,Return of the Lash,Action,"LaRue, Lash",,"Taylor, Ray",78,,,
1513,1937,60,Mystery of the Hooded Horsemen,Western,"Ritter, Tex",,"Taylor, Ray",52,,,
1514,1937,60,Tex Rides with the Boy Scouts,Western,"Ritter, Tex",,"Taylor, Ray",17,,,
1515,1949,59,Shadows of the West,Western,"Wilson, Whip",,"Taylor, Ray",40,,,
1516,1991,102,Instant Karma,Comedy,"Cassidy, David",,"Taylor, Roderick",47,,,
1517,1957,73,Time Lock,Drama,"Connery, Sean",,"Thomas, Gerald",5,,,
1518,1953,79,Appointment in Honduras,Drama,"Ford, Glenn",,"Tourneur, Jacques",7,,,
1519,1982,136,Danton,Drama,"Depardieu, Gérard",,"Wajda, Andrzej",5,,,
1520,1960,164,"Alamo, The",Action,"Wayne, John",,"Wayne, John",29,,,
1521,1986,91,"La Chevre, (The Goat)",Drama,"Depardieu, Gérard",,"Veber, Francis",24,,,
1522,1985,109,Les Comperes,Comedy,"Richard, Pierre",,"Veber, Francis",54,,,
1523,1990,128,Dead Poets Society,Drama,"Williams, Robin",,"Weir, Peter",8,,,
1524,1952,93,"Othello, The Lost Masterpiece",Drama,"Welles, Orson",,"Welles, Orson",23,,,
1526,1976,176,Kings of the Road (In the Course of Time),Drama,"Vogler, Rudiger",,"Wenders, Wim",41,,,
1527,1990,98,Hiroshima,Drama,"Nelson, Judd",,"Werner, Peter",17,,,
1528,1982,111,"Return of Martin Guerre, The",Drama,"Depardieu, Gérard",,"Vigne, Daniel",51,,,
1529,1956,97,Somebody up There Likes Me,Drama,"Newman, Paul",,"Wise, Robert",56,,,
