,year,runtime,title,genre,actor,actress,director,popularity,premiere,imdb score,language
189,1968,103,Charly,Drama,"Robertson, Cliff","Bloom, Claire","Nelson, Ralph",38,,,
190,1973,105,High Plains Drifter,Western,"Eastwood, Clint","Bloom, Verna","Eastwood, Clint",57,,,
191,1982,123,Honkytonk Man,Drama,"Eastwood, Clint","Bloom, Verna","Eastwood, Clint",69,,,
192,1990,102,Nightbreed,Horror,"Cronenberg, David","Bobby, Anne","Barker, Clive",72,,,
193,1987,98,Under the Sun of Satan,Drama,"Depardieu, Gérard","Bonnaire, Sandrine","Pialat, Maurice",45,,,
194,1985,105,Vagabond,Drama,"Meril, Macha","Bonnaire, Sandrine","Varda, Agnes",49,,,
196,1974,89,Monty Python & the Holy Grail,Comedy,"Chapman, Graham","Booth, Connie","Gilliam, Terry",83,,,
198,1958,101,"Matchmaker, The",Comedy,"Perkins, Anthony","Booth, Shirley","Anthony, Joseph",67,,,
199,1981,129,For Your Eyes Only,Action,"Moore, Roger","Bouquet, Carole","Glen, John",86,,,
201,1992,106,Medicine Man,Action,"Connery, Sean","Bracco, Lorraine","McTiernan, John",6,,,
203,1985,119,Kiss of the Spider Woman,Drama,"Hurt, William","Braga, Sonia","Babenco, Hector",10,,,
204,1990,121,"Rookie, THe",Action,"Eastwood, Clint","Braga, Sonia","Eastwood, Clint",48,,,
205,1973,129,"Sting, The",Drama,"Newman, Paul","Brennan, Eileen","Hill, George Roy",83,,,
207,1986,101,Instant Justice,Drama,"Paré, Michael","Bridges, Lynda","Rumar, Craig",45,,,
208,1990,135,Cyrano de Bergerac,Drama,"Depardieu, Gérard","Brochet, Anne","Rappeneau, Jean-Paul",76,,,
209,1948,110,Border Street,Drama,"Fijewski, Tadeusz","Broniewska, Maria","Ford, Aleksander",73,,,
210,1987,91,Firehouse,Comedy,"Hopkins, Barrett","Brown, Violet","Ingvordsen, J. Christian",66,,,
211,1965,123,Morituri,Drama,"Brando, Marlon","Brynner, Yul","Wicki, Bernhard",9,,,
212,1980,104,From the Life of the Marionettes,Drama,"Atzorn, Robert","Buchegger, Christine","Bergman, Ingmar",58,,,
213,1988,120,Frantic,Mystery,"Ford, Harrison","Buckley, Betty","Polanski, Roman",17,,,
214,1978,114,Coma,Science Fiction,"Douglas, Michael","Bujold, Geneviève","Crichton, Michael",64,,,
215,1988,117,Dead Ringers,Drama,"Irons, Jeremy","Bujold, Geneviève","Cronenberg, David",29,,,
216,1988,90,Golden Ninja Invasion,Action,"West, Leonard","Burd, Stephanie","Lambert, Bruce",13,,,
217,1973,122,"Exorcist, The",Horror,"Sydow, Max von","Burstyn, Ellen","Friedkin, William",28,,,
219,1982,94,"Eyes of the Amaryllis, The",Drama,"Bolt, Jonathan","Byrne, Martha","King Keller, Frederick",70,,,
222,1989,114,School Daze,Comedy,"Fishburne, Larry","Campbell, Tisha","Lee, Spike",18,,,
223,1990,102,"End of Innocence, The",Drama,"Heard, John","Cannon, Dyan","Cannon, Dyan",6,,,
224,1971,98,"Anderson Tapes, The",Mystery,"Connery, Sean","Cannon, Dyan","Lumet, Sidney",1,,,
225,1983,50,"Father Murphy, A Horse from Heaven",Comedy,"Olsen, Merlin","Cannon, Katharine","Claxton, William F.",28,,,
226,1989,80,Skull,Drama,"Bideman, Robert","Capone, Nadia","Bergman, Robert",19,,,
227,1987,91,"Quick & The Dead, The",Western,"Elliott, Sam","Capshaw, Kate","Day, Robert",40,,,
228,1984,94,Best Defense,Comedy,"Moore, Dudley","Capshaw, Kate","Huyck, Willard",75,,,
229,1984,99,Dreamscape,Science Fiction,"Quaid, Dennis","Capshaw, Kate","Ruben, Joseph",63,,,
230,1989,125,Black Rain,Action,"Douglas, Michael","Capshaw, Kate","Scott, Ridley",73,,,
231,1963,138,8 1/2,Drama,"Mastroianni, Marcello","Cardinale, Claudia","Fellini, Federico",80,,,
232,1935,64,One Frightened Night,Horror,"Ford, Wallace","Carlisle, Mary","Cabanne, Christy",33,,,
233,1988,103,"Year My Voice Broke, The",Drama,"Taylor, Noah","Carmen, Loene","Duigan, John",71,,,
235,1974,313,QB VII,Drama,"Hopkins, Anthony","Caron, Leslie","Gries, Tom",28,,,
236,1977,104,"Island of Dr. Moreau, The",Horror,"Lancaster, Burt","Carrera, Barbara","Taylor, Don",54,,,
237,1983,104,Beyond the Limit,Drama,"Caine, Michael","Carrillo, Elpidia","Mackenzie, John",51,,,
238,1936,84,Secret Agent,Mystery,"Lorre, Peter","Carroll, Madeleine","Hitchcock, Alfred",50,,,
240,1972,71,"Big Bust Out, The",Action,"Kendall, Tony","Carter, Karen","Theumer, Ernst R. von",50,,,
241,1987,119,"Fourth Protocol, The",Mystery,"Caine, Michael","Cassidy, Joanna","Mackenzie, John",14,,,
242,1990,107,Gremlins 2: The New Batch,Comedy,"Galligan, Zach","Cates, Phoebe","Dante, Joe",61,,,
243,1982,92,Fast Times at Ridgemont High,Comedy,"Penn, Sean","Cates, Phoebe","Heckerling, Amy",65,,,
245,1977,91,Rabid,Horror,"Moore, Frank","Chambers, Marilyn","Cronenberg, David",34,,,
247,1989,90,"Vampire Raiders, Ninja Queen",Action,"Peterson, Chris","Chan, Agnes","Lambert, Bruce",15,,,
249,1943,99,Destroyer,Action,"Robinson, Edward G.","Chapman, Marguerite","Seiter, William A.",87,,,
250,1992,99,Party Girl,Comedy,"Taylor, Robert","Charisse, Cyd","Ray, Nicholas",85,,,
251,1989,113,Twin Peaks,Mystery,"MacLachlan, Kyle","Chen, Joan","Lynch, David",86,,,
252,1987,103,Moonstruck,Comedy,"Cage, Nicholas",Cher,"Jewison, Norman",6,,,
253,1987,119,"Witches of Eastwick, The",Comedy,"Nicholson, Jack",Cher,"Miller, George",8,,,
254,1979,128,Moonraker,Action,"Moore, Roger","Chiles, Lois","Gilbert, Lewis",32,,,
255,1984,106,Beat Street,Drama,"Davis, Guy","Chong, Rae Dawn","Lathan, Stan",72,,,
257,1989,90,Never on Tuesday,Drama,"Lauer, Andrew","Christian, Claudia","Rifkin, Adam",77,,,
258,1975,109,Shampoo,Comedy,"Beatty, Warren","Christie, Julie","Ashby, Hal",69,,,
259,1985,111,Power,Drama,"Hackman, Gene","Christie, Julie","Lumet, Sidney",43,,,
260,1965,122,Darling,Drama,"Harvey, Laurence","Christie, Julie","Schlesinger, John",44,,,
261,1963,120,"Ugly American, The",Drama,"Brando, Marlon","Church, Sandra","Englund, George",63,,,
262,1931,68,Ambassador Bill,Comedy,"Rogers, Will","Churchill, Marguerite","Taylor, Sam",66,,,
263,1931,110,"Big Trail, The",Western,"Wayne, John","Churchill, Marguerite","Walsh, Raoul",22,,,
264,1967,111,Hombre,Western,"Newman, Paul","Cilento, Diane","Ritt, Martin",50,,,
265,1968,103,Coogan's Bluff,Action,"Eastwood, Clint","Clark, Susan","Siegel, Don",57,,,
266,1989,91,Penn & Teller Get Killed,Comedy,"Penn, Jillette","Clarke, Caitlin","Penn, Arthur",12,,,
267,1987,118,Shy People,Drama,"Philbin, John","Clayburgh, Jill","Konchalovsky, Andrei",7,,,
268,1980,91,It's My Turn,Comedy,"Douglas, Michael","Clayburgh, Jill","Weill, Claudia",0,,,
269,1988,119,Dangerous Liaisons,Drama,"Malkovich, John","Close, Glenn","Frears, Stephen",77,,,
270,1990,111,Reversal of Fortune,Drama,"Irons, Jeremy","Close, Glenn","Schroeder, Barbet",73,,,
271,1991,119,Meeting Venus,Comedy,"Arestrup, Niels","Close, Glenn","Szabó, István",74,,,
273,1987,101,Like Father Like Son,Comedy,"Cameron, Kirk","Colin, Margaret","Daniel, Rod",20,,,
274,1948,81,Rope,Drama,"Stewart, James","Collier, Constance","Hitchcock, Alfred",39,,,
275,1962,91,Road to Hong Kong,Comedy,"Hope, Bob","Collins, Joan","Panama, Norman",37,,,
276,1989,108,Shirley Valentine,Comedy,"Conti, Tom","Collins, Pauline","Gilbert, Lewis",51,,,
277,1992,135,City of Joy,Drama,"Swayze, Patrick","Collins, Pauline","Joffe, Roland",87,,,
278,1966,99,"Appaloosa, The",Western,"Brando, Marlon","Comer, Anjanette","Furie, Sidney J.",15,,,
279,1986,88,Seven Minutes in Heaven,Comedy,"Thames, Byron","Connelly, Jennifer","Feferman, Linda",49,,,
280,1991,96,"Hearts of Darkness, A Filmmaker's Apocalypse",Drama,"Bottoms, Sam","Coppola, Eleanor","Bahr, Fax",72,,,
281,1961,66,Tonight for Sure,Comedy,"Lee, Karla","Cornell, Laura","Coppola, Francis Ford",4,,,
283,1962,110,Sundays & Cybele,Drama,"Kruger, Hardy","Courcel, Nicole","Bourguignon, Serge",11,,,
284,1989,90,Puppet Master,Science Fiction,"LeMat, Paul","Crampton, Barbara","Schmoeller, David",20,,,
285,1991,95,Night Gallery,Horror,"McDowall, Roddy","Crawford, Joan","Spielberg, Steven",31,,,
286,1989,103,Pet Sematary,Horror,"Gwynne, Fred","Crosby, Denise","Lambert, Mary",27,,,
287,1992,60,"America's Music, Gospel",Music,"Phipps, Wentley","Crouch, Sandra","Walton, Kip",13,,,
288,1977,123,Slap Shot,Comedy,"Newman, Paul","Crouse, Lindsay","Hill, George Roy",82,,,
289,1987,109,O. C. & Stiggs,Comedy,"Jenkins, Daniel H.","Curtin, Jane","Altman, Robert",3,,,
290,1988,108,A Fish Called Wanda,Comedy,"Cleese, John","Curtis, Jamie Lee","Crichton, Charles",7,,,
291,1954,96,A Lesson in Love,Comedy,"Björnstrand, Gunnar","Dahlbeck, Eva","Bergman, Ingmar",48,,,
292,1957,82,Brink of Life,Drama,"Josephson, Erland","Dahlbeck, Eva","Bergman, Ingmar",57,,,
293,1986,120,Betty Blue,Drama,"Anglade, Jean-Hughes","Dalle, Béatrice","Beineix, Jean-Jacques",71,,,
294,1979,122,Hair,Music,"Savage, John","D'Angelo, Beverly","Forman, Milos",67,,,
295,1989,97,National Lampoon's Christmas Vacation,Comedy,"Chase, Chevy","D'Angelo, Beverly","S, Jeremiah",81,,,
297,1990,106,Alice,Comedy,"Baldwin, Alec","Danner, Blythe","Allen, Woody",22,,,
298,1980,90,"Fifth Floor, The",Mystery,"Hopkins, Bo","D'Arbanville, Patti","Avedis, Howard Hikmet",74,,,
299,1990,94,Snow Kill,Drama,"Knox, Terence","D'Arbanville, Patti","Wright, Thomas J.",35,,,
300,1971,74,"People, The",Drama,"Shatner, William","Darby, Kim","Coppola, Francis Ford",36,,,
301,1969,128,True Grit,Western,"Wayne, John","Darby, Kim","Hathaway, Henry",77,,,
303,1948,103,Three Godfathers,Western,"Wayne, John","Darwell, Jane","Ford, John",72,,,
304,1965,133,"Hush, Hush, Sweet Charlotte",Mystery,"Cotten, Joseph","Davis, Bette","Aldrich, Robert",68,,,
305,1946,110,A Stolen Life,Drama,"Ford, Glenn","Davis, Bette","Bernhardt, Curtis",20,,,
306,1939,96,"Old Maid, The",Drama,"Brent, George","Davis, Bette","Goulding, Edmund",18,,,
307,1950,138,All about Eve,Drama,"Sanders, George","Davis, Bette","Mankiewicz, Joseph L.",23,,,
308,1986,96,"Fly, The",Horror,"Goldblum, Jeff","Davis, Geena","Cronenberg, David",33,,,
309,1990,89,Quick Change,Comedy,"Murray, Bill","Davis, Geena","Franklin, Howard ",24,,,
310,1988,93,"Lair of the White Worm, The",Horror,"Grant, Hugh","Davis, Sammi","Russell, Ken",16,,,
311,1989,104,"Rainbow, The",Drama,"Hemmings, David","Davis, Sammi","Russell, Ken",53,,,
312,1956,120,"Man Who Knew Too Much, The",Mystery,"Stewart, James","Day, Doris","Hitchcock, Alfred",15,,,
313,1992,90,Beauty & the Beast,Science Fiction,"Marais, Jean","Day, Josette","Cocteau, Jean",14,,,
314,1940,120,Foreign Correspondent,Mystery,"McCrea, Joel","Day, Laraine","Hitchcock, Alfred",61,,,
315,1949,115,"Heiress, The",Drama,"Richardson, Ralph","De Havilland, Olivia","Wyler, William",81,,,
316,1986,120,"Boy Who Could Fly, The",Drama,"Underwood, Jay","Deakins, Lucy","Castle, Nick",25,,,
317,1975,89,"Terrorists, The",Action,"Connery, Sean","Dean, Isabel","Wrede, Caspar",4,,,
318,1942,85,Wheel of Fortune,Drama,"Wayne, John","Dee, Frances","Auer, John H.",36,,,
319,1989,120,Do the Right Thing,Drama,"Aiello, Danny","Dee, Ruby","Lee, Spike",5,,,
320,1990,93,"Court-Martial of Jackie Robinson, The",Drama,"Braugher, Andre","Dee, Ruby","Peerce, Larry",33,,,
321,1967,90,Elvira Madigan,Drama,"Berggren, Thommy","Degermark, Pia","Widerberg, Bo",28,,,
322,1992,86,Hurricane Smith,Action,"Weathers, Carl","Delaney, Cassandra","Budds, Colin",16,,,
325,1983,99,Risky Business,Comedy,"Cruise, Tom","DeMornay, Rebecca","Brickman, Paul",28,,,
326,1980,103,I Love All of You (Je Vous Aime),Drama,"Depardieu, Gérard","Deneuve, Catherine","Berri, Claude",40,,,
327,1986,108,Love Songs,Drama,"Lambert, Christopher","Deneuve, Catherine","Chouraqui, Elie",15,,,
328,1983,114,Le Choix des Armes,Mystery,"Montand, Yves","Deneuve, Catherine","Comeau, Alain",15,,,
329,1981,135,Choice of Arms,Action,"Montand, Yves","Deneuve, Catherine","Corneau, Alan",87,,,
331,1980,135,"Last Metro, The",Drama,"Depardieu, Gérard","Deneuve, Catherine","Truffaut, François",66,,,
332,1986,120,Jean de Florette,Drama,"Montand, Yves","Depardieu, Elizabeth","Berri, Claude",87,,,
333,1989,127,Fat Man & Little Boy,Drama,"Newman, Paul","Dern, Laura","Joffe, Roland",86,,,
334,1990,125,Wild at Heart,Drama,"Cage, Nicolas","Dern, Laura","Lynch, David",6,,,
335,1989,113,Family Business,Action,"Connery, Sean","DeSoto, Rosana","Lumet, Sidney",5,,,
336,1988,103,Stand & Deliver,Drama,"Olmos, Edward James","DeSoto, Rosana","Menendez, Ramon",19,,,
337,1981,94,Looker,Science Fiction,"Finney, Albert","Dey, Susan","Crichton, Michael",62,,,
338,1989,89,Fire & Rain,Action,"Haid, Charles","Dickinson, Angie","Jameson, Jerry",10,,,
340,1940,83,Seven Sinners,Drama,"Wayne, John","Dietrich, Marlene","Garnett, Tay",24,,,
341,1961,190,Judgment at Nuremberg,Drama,"Tracy, Spencer","Dietrich, Marlene","Kramer, Stanley",39,,,
344,1987,130,Wings of Desire,Drama,"Ganz, Bruno","Dommartin, Solveig","Wenders, Wim",71,,,
345,1991,158,Until the End of the World,Drama,"Hurt, William","Dommartin, Solveig","Wenders, Wim",57,,,
346,1987,118,Castaway,Drama,"Reed, Oliver","Donohoe, Amanda","Roeg, Nicolas",41,,,
348,1991,99,Delicatessen,Comedy,"Benezech, Pascal","Dougnac, Marie-Laure","Caro, Marc",78,,,
349,1979,110,"Great Train Robbery, The",Mystery,"Connery, Sean","Down, Lesley-Anne","Crichton, Michael",7,,,
350,1991,110,Hanover Street,Drama,"Ford, Harrison","Down, Lesley-Anne","Hyams, Peter",81,,,
351,1991,102,Hunchback,Drama,"Hopkins, Anthony","Down, Lesley-Anne","Tuchner, Michael",33,,,
352,1946,97,My Darling Clementine,Western,"Fonda, Henry","Downs, Cathy","Ford, John",12,,,
353,1950,86,Wagon Master,Western,"Johnson, Ben","Dru, Joanne","Ford, John",30,,,
354,1949,93,She Wore a Yellow Ribbon,Western,"Wayne, John","Dru, Joanne","Ford, John",84,,,
355,1985,90,Fantasy Man,Comedy,"Hopkins, Harold","Drynan, Jeanie","Meagher, John",82,,,
356,1986,87,Monster in the Closet,Comedy,"Grant, Donald","DuBarry, Denise","Dahlin, Bob",39,,,
357,1992,85,Double Edge,Drama,"Eban, Abba","Dunaway, Faye","Kollek, Amos",69,,,
358,1976,116,Network,Comedy,"Finch, Peter","Dunaway, Faye","Lumet, Sidney",48,,,
359,1974,131,Chinatown,Drama,"Nicholson, Jack","Dunaway, Faye","Polanski, Roman",55,,,
360,1975,117,Three Days of the Condor,Drama,"Redford, Robert","Dunaway, Faye","Pollack, Sydney",87,,,
361,1977,134,Voyage of the Damned,Drama,"Sydow, Max von","Dunaway, Faye","Rosenberg, Stuart",34,,,
362,1987,97,Barfly,Drama,"Rourke, Mickey","Dunaway, Faye","Schroeder, Barbet",23,,,
364,1947,118,Life with Father,Comedy,"Powell, William","Dunne, Irene","Curtiz, Michael",10,,,
366,1974,117,Stavisky,Drama,"Belmondo, Jean-Paul","Duperey, Anny","Resnais, Alain",1,,,
367,1981,117,Time Bandits,Comedy,"Cleese, John","Duvall, Shelley","Gilliam, Terry",5,,,
368,1980,144,"Shining, The",Horror,"Nicholson, Jack","Duvall, Shelley","Kubrick, Stanley",32,,,
369,1945,91,Flame of Barbary Coast,Western,"Wayne, John","Dvorak, Ann","Kane, Joseph",54,,,
371,1979,92,"Brood, The",Horror,"Reed, Oliver","Eggar, Samantha","Cronenberg, David",51,,,
372,1970,123,"Molly Maguires, The",Action,"Connery, Sean","Eggar, Samantha","Ritt, Martin",3,,,
373,1984,105,Beverly Hills Cop,Comedy,"Murphy, Eddie","Eilbacher, Lisa","Brest, Martin",41,,,
374,1991,86,Blind Man's Bluff,Mystery,"Urich, Robert","Eilbacher, Lisa","Quinn, James",64,,,
375,1961,140,La Dolce Vita,Drama,"Mastroianni, Marcello","Ekberg, Anita","Fellini, Federico",20,,,
376,1966,103,After the Fox,Comedy,"Sellers, Peter","Ekland, Britt","De Sica, Vittorio",60,,,
377,1974,127,"Man with the Golden Gun, The",Action,"Moore, Roger","Ekland, Britt","Hamilton, Guy",41,,,
378,1985,96,Marbella,Action,"Taylor, Rod","Ekland, Britt","Hermoso, Miguel",45,,,
379,1967,103,"Bobo, The",Comedy,"Sellers, Peter","Ekland, Britt","Parrish, Robert",80,,,
381,1992,97,Killer Image.,Mystery,"Ironside, Michael","Errickson, Krista","Winning, David",8,,,
382,1987,94,Kandyland,Drama,"Laulette, Charles","Evenson, Kim","Schnitzer, Robert Allen",41,,,
383,1987,94,Campus Man,Drama,"Dye, John","Fairchild, Morgan","Casden, Ron",38,,,
384,1956,101,Jubal,Drama,"Ford, Glenn","Farr, Felicia","Daves, Delmer",32,,,
385,1985,84,"Purple Rose of Cairo, The",Comedy,"Aiello, Danny","Farrow, Mia","Allen, Woody",20,,,
386,1984,85,Broadway Danny Rose,Comedy,"Allen, Woody","Farrow, Mia","Allen, Woody",14,,,
387,1992,108,Husbands & Wives,Comedy,"Allen, Woody","Farrow, Mia","Allen, Woody",80,,,
388,1986,103,Hannah & Her Sisters,Comedy,"Caine, Michael","Farrow, Mia","Allen, Woody",8,,,
389,1979,115,Hurricane,Action,"Robards, Jason","Farrow, Mia","Troell, Jan",8,,,
390,1986,95,Between Two Women,Drama,"Nouri, Michael","Fawcett, Farrah","Avnet, John",52,,,
391,1981,96,"Cannonball Run, The",Comedy,"Reynolds, Burt","Fawcett, Farrah","Needham, Hal",80,,,
392,1936,70,Doughnuts & Society,Comedy,"Nugent, Eddie","Fazenda, Louise","Collins, Lewis D.",28,,,
393,1978,450,Holocaust,Drama,"Bottoms, Joseph","Feldshuh, Tovah","Chomsky, Marvin J.",1,,,
394,1990,103,Meridian,Science Fiction,"Jamieson, Malcolm","Fenn, Sherilyn","Band, Charles",47,,,
395,1992,90,Diary of a Hitman,Drama,"Whitaker, Forest","Fenn, Sherilyn","London, Roy",67,,,
396,1988,95,Gor,Action,"Reed, Oliver","Ferratti, Rebecca","Kiersch, Fritz",2,,,
397,1987,95,Surrender,Comedy,"Caine, Michael","Field, Sally","Belson, Jerry",84,,,
398,1984,112,Places in the Heart,Drama,"Harris, Ed","Field, Sally","Benton, Robert",83,,,
399,1991,106,Not Without My Daughter,Drama,"Molina, Alfred","Field, Sally","Gilbert, Brian",55,,,
400,1977,113,Heroes,Drama,"Winkler, Henry","Field, Sally","Kagan, Jeremy Paul",17,,,
401,1981,116,Absence of Malice,Drama,"Newman, Paul","Field, Sally","Pollack, Sydney",76,,,
402,1979,110,Norma Rae,Drama,"Bridges, Beau","Field, Sally","Ritt, Martin",64,,,
403,1989,118,Steel Magnolias,Drama,"Skerritt, Tom","Field, Sally","Ross, Herbert",66,,,
404,1989,101,"Burbs, The",Comedy,"Hanks, Tom","Fisher, Carrie","Dante, Joe",42,,,
405,1980,124,"Empire Strikes Back, The",Science Fiction,"Hamill, Mark","Fisher, Carrie","Kershner, Irvin",33,,,
406,1977,121,Star Wars,Science Fiction,"Hamill, Mark","Fisher, Carrie","Lucas, George",44,,,
407,1983,132,Return of the Jedi,Science Fiction,"Hamill, Mark","Fisher, Carrie","Marquand, Richard",4,,,
408,1991,104,Hear My Song,Drama,"Dunbar, Adrian","Fitzgerald, Tara","Chelsom, Peter",72,,,
409,1956,99,Slightly Scarlet,Action,"Payne, John","Fleming, Rhonda","Dwan, Allan",52,,,
410,1957,120,Gunfight at the OK Corral,Western,"Lancaster, Burt","Fleming, Rhonda","Sturges, John",84,,,
412,1990,89,Bloodsucking Pharaohs in Pittsburgh,Comedy,"Dengel, Jake","Fletcher, Suzanne","Smithey, Alan",79,,,
413,1972,129,Roma,Drama,"Gonzales, Peter","Florence, Fiona","Fellini, Federico",75,,,
414,1979,122,"China Syndrome, The",Drama,"Douglas, Michael","Fonda, Jane","Bridges, James",43,,,
415,1986,100,"Morning After, The",Mystery,"Bridges, Jeff","Fonda, Jane","Lumet, Sidney",6,,,
416,1971,114,Klute,Drama,"Sutherland, Donald","Fonda, Jane","Pakula, Alan J.",15,,,
417,1979,113,"Electric Horseman, The",Comedy,"Redford, Robert","Fonda, Jane","Pollack, Sydney",34,,,
418,1965,97,Cat Ballou,Comedy,"Marvin, Lee","Fonda, Jane","Silverstein, Elliot",62,,,
420,1940,130,Rebecca,Drama,"Olivier, Laurence","Fontaine, Joan","Hitchcock, Alfred",78,,,
421,1944,96,Jane Eyre,Drama,"Welles, Orson","Fontaine, Joan","Stevenson, Robert",44,,,
422,1973,87,Stacey!,Action,"Randall, Anne","Ford, Anitra","Sidaris, Andy",31,,,
423,1992,85,Naked Obsession,Mystery,"Katt, William","Ford, Maria","Golden, Dan",26,,,
424,1989,83,"Stripped to Kill II, Live Girls",Mystery,"Lottimer, Ed","Ford, Maria","Ruben, Katt Shea",80,,,
425,1990,94,"Rain Killer, The",Mystery,"Sharkey, Ray","Ford, Maria","Stein, Ken",10,,,
426,1983,95,Valley Girl,Comedy,"Cage, Nicolas","Foreman, Deborah","Coolidge, Martha",30,,,
427,1991,118,"Silence of the Lambs, The",Mystery,"Hopkins, Anthony","Foster, Jodie","Demme, Jonathan",8,,,
428,1988,98,Stealing Home,Drama,"Harmon, Mark","Foster, Jodie","Kampmann, Steven ",76,,,
429,1972,92,Napoleon & Samantha,Comedy,"Douglas, Michael","Foster, Jodie","McEveety, Bernard",33,,,
432,1989,103,My Left Foot,Drama,"Day-Lewis, Daniel","Fricker, Brenda","Sheridan, Jim",32,,,
433,1987,92,Back to the Beach,Comedy,"Avalon, Frankie","Funicello, Annette","Hobbs, Lyndall",45,,,
434,1934,85,"Painted Veil, The",Drama,"Marshall, Herbert","Garbo, Greta","Boleslawski, Richard",57,,,
435,1931,74,Inspiration,Drama,"Apfel, Oscar","Garbo, Greta","Brown, Clarence",66,,,
436,1930,92,Anna Christie,Drama,"Bickford, Charles","Garbo, Greta","Brown, Clarence",0,,,
437,1926,109,"Flesh & the Devil, The",Drama,"Gilbert, John","Garbo, Greta","Brown, Clarence",72,,,
438,1928,90,Woman of Affairs,Drama,"Gilbert, John","Garbo, Greta","Brown, Clarence",83,,,
439,1935,96,Anna Karenina,Drama,"March, Fredric","Garbo, Greta","Brown, Clarence",35,,,
440,1936,110,Camille,Drama,"Taylor, Robert","Garbo, Greta","Cukor, George",74,,,
441,1931,91,Mata Hari,Drama,"Novarro, Ramon","Garbo, Greta","Fitzmaurice, George",67,,,
442,1929,100,Wild Orchids,Drama,"Stone, Lewis","Garbo, Greta","Franklin, Sidney",70,,,
443,1932,112,Grand Hotel,Drama,"Barrymore, John","Garbo, Greta","Goulding, Edmund",81,,,
444,1931,84,"Susan Lennox, Her Fall & Rise",Drama,"Hale, Alan","Garbo, Greta","Leonard, Robert Z.",64,,,
445,1939,108,Ninotchka,Comedy,"Douglas, Melvyn","Garbo, Greta","Lubitsch, Ernst",40,,,
446,1933,97,Queen Christina,Drama,"Gilbert, John","Garbo, Greta","Mamoulian, Rouben",82,,,
447,1928,96,"Mysterious Lady, The",Drama,"Nagel, Conrad","Garbo, Greta","Niblo, Fred",72,,,
448,1925,125,Joyless Street,Drama,"Stuart, Henry","Garbo, Greta","Pabst, Georg Wilhelm",73,,,
449,1929,74,"Single Standard, The",Drama,"Asther, Nils","Garbo, Greta","Robertson, John S.",73,,,
452,1962,105,A Child Is Waiting,Drama,"Lancaster, Burt","Garland, Judy","Cassavetes, John",60,,,
453,1982,116,Tootsie,Comedy,"Hoffman, Dustin","Garr, Teri","Pollack, Sydney",8,,,
454,1989,86,Let It Ride,Comedy,"Dreyfuss, Richard","Garr, Teri","Pytka, Joe",88,,,
455,1953,120,Julius Caesar,Drama,"Brando, Marlon","Garson, Greer","Mankiewicz, Joseph L.",50,,,
456,1979,120,Nineteen Forty-One,Comedy,"Belushi, John","Gary, Lorraine","Spielberg, Steven",24,,,
457,1975,124,Jaws,Action,"Scheider, Roy","Gary, Lorraine","Spielberg, Steven",6,,,
458,1987,93,Hot Pursuit,Drama,"Cusack, John","Gazelle, Wendy","Lisberger, Steven",44,,,
459,1989,120,Triumph of the Spirit,Drama,"Dafoe, Willem","Gazelle, Wendy","Young, Robert M.",49,,,
460,1975,111,Brannigan,Drama,"Wayne, John","Geeson, Judy","Hickox, Douglas",64,,,
461,1979,89,Buffet Froid,Comedy,"Depardieu, Gérard","Gence, Denise","Blier, Bertrand",75,,,
462,1986,122,Salvador,Drama,"Woods, James","Gibb, Cynthia","Stone, Oliver",77,,,
463,1959,102,"Horse Soldiers, The",Western,"Wayne, John","Gibson, Althea","Ford, John",76,,,
464,1954,108,Long John Silver,Action,"Newton, Robert","Gilchrist, Connie","Haskin, Byron",56,,,
465,1961,134,"Hustler, The",Drama,"Newman, Paul","Gleason, Jackie","Rossen, Robert",43,,,
466,1983,109,"Star Chamber, The",Drama,"Douglas, Michael","Gless, Sharon","Hyam, Peter",3,,,
467,1988,100,Clara's Heart,Drama,"Ontkean, Michael","Goldberg, Whoopi","Mulligan, Robert",60,,,
468,1987,102,Burglar,Comedy,"Goldthwait, Bob","Goldberg, Whoopi","Wilson, Hugh",44,,,
470,1978,117,Bloodbrothers,Drama,"Sorvino, Paul","Goldoni, Lelia","Mulligan, Robert",11,,,
471,1988,134,Rain Man,Drama,"Hoffman, Dustin","Golino, Valeria","Levinson, Barry",8,,,
472,1966,95,Masculine Feminine,Drama,"Leaud, Jean-Pierre","Goya, Chantal","Godard, Jean-Luc",20,,,
473,1964,51,"Outer Limits, The",Science Fiction,"Perrin, Vic","Grahame, Gloria","Stanley, Paul",27,,,
475,1979,180,"Last Ride of the Dalton Gang, The",Western,"Palance, Jack","Greenbush, Lindsay","Curtis, Dan",62,,,
478,1986,120,Manhunter,Drama,"Petersen, William L.","Griest, Kim","Mann, Michael",19,,,
479,1990,126,"Bonfire of the Vanities, The",Drama,"Hanks, Tom","Griffith, Melanie","De Palma, Brian",82,,,
480,1988,115,Working Girl,Comedy,"Ford, Harrison","Griffith, Melanie","Nichols, Mike",25,,,
481,1992,133,Shining Through,Mystery,"Douglas, Michael","Griffith, Melanie","Seltzer, David",11,,,
483,1988,99,Tokyo Pop,Comedy,"Tadokoro, Yutaka","Hamilton, Carrie","Kuzui, Fran Rubel",2,,,
484,1991,136,Terminator 2,Action,"Schwarzenegger, Arnold","Hamilton, Linda","Cameron, James",8,,,
485,1984,108,"Terminator, The",Action,"Schwarzenegger, Arnold","Hamilton, Linda","Cameron, James",17,,,
